episode,reward,length,key_picked,door_opened,goal_reached
0,1.0,16,True,True,True
1,0.98,18,True,True,True
2,1.0,16,True,True,True
3,1.03,15,True,True,True
4,1.03,15,True,True,True
5,1.01,17,True,True,True
6,0.8899999999999999,25,True,True,True
7,1.03,15,True,True,True
8,1.03,15,True,True,True
9,1.0,16,True,True,True
10,0.98,18,True,True,True
11,1.03,15,True,True,True
12,1.03,15,True,True,True
13,0.97,21,True,True,True
14,1.03,15,True,True,True
15,1.01,17,True,True,True
16,1.03,15,True,True,True
17,1.03,15,True,True,True
18,1.03,15,True,True,True
19,1.03,15,True,True,True
20,1.01,17,True,True,True
21,1.01,17,True,True,True
22,1.03,15,True,True,True
23,1.03,15,True,True,True
24,1.03,15,True,True,True
25,1.01,17,True,True,True
26,1.03,15,True,True,True
27,1.01,17,True,True,True
28,1.03,15,True,True,True
29,1.03,15,True,True,True
30,1.03,15,True,True,True
31,1.01,17,True,True,True
32,1.03,15,True,True,True
33,1.0,16,True,True,True
34,0.96,20,True,True,True
35,0.95,19,True,True,True
36,1.0,16,True,True,True
37,1.01,17,True,True,True
38,1.03,15,True,True,True
39,1.03,15,True,True,True
40,1.01,17,True,True,True
41,0.99,19,True,True,True
42,1.03,15,True,True,True
43,1.03,15,True,True,True
44,1.03,15,True,True,True
45,1.03,15,True,True,True
46,1.03,15,True,True,True
47,1.03,15,True,True,True
48,0.96,20,True,True,True
49,1.03,15,True,True,True
50,1.0,16,True,True,True
51,1.03,15,True,True,True
52,1.03,15,True,True,True
53,1.03,15,True,True,True
54,1.03,15,True,True,True
55,0.98,18,True,True,True
56,1.03,15,True,True,True
57,1.01,17,True,True,True
58,0.98,18,True,True,True
59,1.03,15,True,True,True
60,1.03,15,True,True,True
61,1.03,15,True,True,True
62,1.01,17,True,True,True
63,1.0,16,True,True,True
64,0.99,19,True,True,True
65,1.03,15,True,True,True
66,0.8599999999999999,30,True,True,True
67,1.01,17,True,True,True
68,1.03,15,True,True,True
69,1.03,15,True,True,True
70,0.98,18,True,True,True
71,1.03,15,True,True,True
72,1.03,15,True,True,True
73,0.96,20,True,True,True
74,1.03,15,True,True,True
75,1.01,17,True,True,True
76,1.03,15,True,True,True
77,1.03,15,True,True,True
78,1.03,15,True,True,True
79,1.03,15,True,True,True
80,1.03,15,True,True,True
81,1.03,15,True,True,True
82,1.01,17,True,True,True
83,1.03,15,True,True,True
84,1.01,17,True,True,True
85,1.03,15,True,True,True
86,1.03,15,True,True,True
87,1.03,15,True,True,True
88,1.0,16,True,True,True
89,1.0,16,True,True,True
90,1.03,15,True,True,True
91,1.03,15,True,True,True
92,1.01,17,True,True,True
93,1.03,15,True,True,True
94,0.97,21,True,True,True
95,1.03,15,True,True,True
96,1.01,17,True,True,True
97,1.01,17,True,True,True
98,1.03,15,True,True,True
99,1.03,15,True,True,True
100,1.03,15,True,True,True
101,1.03,15,True,True,True
102,1.01,17,True,True,True
103,1.03,15,True,True,True
104,1.01,17,True,True,True
105,1.01,17,True,True,True
106,1.01,17,True,True,True
107,0.98,20,True,True,True
108,1.0,16,True,True,True
109,0.98,18,True,True,True
110,1.03,15,True,True,True
111,1.01,17,True,True,True
112,1.0,16,True,True,True
113,1.03,15,True,True,True
114,1.03,15,True,True,True
115,1.03,15,True,True,True
116,1.0,16,True,True,True
117,1.03,15,True,True,True
118,1.01,17,True,True,True
119,0.99,19,True,True,True
120,1.03,15,True,True,True
121,1.03,15,True,True,True
122,1.03,15,True,True,True
123,1.03,15,True,True,True
124,1.03,15,True,True,True
125,1.03,15,True,True,True
126,1.01,17,True,True,True
127,1.03,15,True,True,True
128,1.03,15,True,True,True
129,1.03,15,True,True,True
130,1.01,17,True,True,True
131,1.0,16,True,True,True
132,1.01,17,True,True,True
133,1.01,17,True,True,True
134,0.99,19,True,True,True
135,1.01,17,True,True,True
136,1.01,17,True,True,True
137,1.03,15,True,True,True
138,1.03,15,True,True,True
139,1.01,17,True,True,True
140,1.01,17,True,True,True
141,1.03,15,True,True,True
142,1.01,17,True,True,True
143,1.01,17,True,True,True
144,0.99,19,True,True,True
145,1.01,17,True,True,True
146,1.03,15,True,True,True
147,0.98,18,True,True,True
148,1.01,17,True,True,True
149,1.03,15,True,True,True
150,1.01,17,True,True,True
151,1.03,15,True,True,True
152,1.03,15,True,True,True
153,1.03,15,True,True,True
154,0.98,18,True,True,True
155,1.03,15,True,True,True
156,1.03,15,True,True,True
157,1.0,16,True,True,True
158,1.03,15,True,True,True
159,1.03,15,True,True,True
160,1.03,15,True,True,True
161,0.9299999999999999,21,True,True,True
162,1.03,15,True,True,True
163,0.98,18,True,True,True
164,1.01,17,True,True,True
165,1.03,15,True,True,True
166,1.01,17,True,True,True
167,1.03,15,True,True,True
168,1.0,16,True,True,True
169,1.03,15,True,True,True
170,1.03,15,True,True,True
171,1.03,15,True,True,True
172,1.01,17,True,True,True
173,1.0,16,True,True,True
174,1.03,15,True,True,True
175,1.01,17,True,True,True
176,1.03,15,True,True,True
177,1.01,17,True,True,True
178,0.99,19,True,True,True
179,0.9299999999999999,21,True,True,True
180,0.94,22,True,True,True
181,1.03,15,True,True,True
182,1.03,15,True,True,True
183,1.01,17,True,True,True
184,1.03,15,True,True,True
185,1.03,15,True,True,True
186,1.0,16,True,True,True
187,1.03,15,True,True,True
188,1.01,17,True,True,True
189,1.03,15,True,True,True
190,1.03,15,True,True,True
191,1.03,15,True,True,True
192,1.0,16,True,True,True
193,1.01,17,True,True,True
194,1.0,16,True,True,True
195,0.98,18,True,True,True
196,1.03,15,True,True,True
197,1.01,17,True,True,True
198,1.03,15,True,True,True
199,1.03,15,True,True,True
200,0.98,18,True,True,True
201,1.03,15,True,True,True
202,1.03,15,True,True,True
203,1.03,15,True,True,True
204,1.03,15,True,True,True
205,1.03,15,True,True,True
206,1.01,17,True,True,True
207,1.03,15,True,True,True
208,0.99,19,True,True,True
209,1.03,15,True,True,True
210,0.96,20,True,True,True
211,1.03,15,True,True,True
212,1.03,15,True,True,True
213,1.03,15,True,True,True
214,1.03,15,True,True,True
