episode,reward,steps,key,door,goal
1,1.04,7,1,1,1
2,1.04,7,1,1,1
3,1.04,7,1,1,1
4,1.04,7,1,1,1
5,1.04,7,1,1,1
6,1.04,7,1,1,1
7,1.04,7,1,1,1
8,1.04,7,1,1,1
9,1.04,7,1,1,1
10,1.04,7,1,1,1
11,-0.02,50,1,1,0
12,1.04,7,1,1,1
13,1.04,7,1,1,1
14,1.04,7,1,1,1
15,1.04,7,1,1,1
16,1.04,7,1,1,1
17,1.04,7,1,1,1
18,1.04,7,1,1,1
19,1.04,7,1,1,1
20,1.04,7,1,1,1
21,1.04,7,1,1,1
22,1.0,8,1,1,1
23,1.04,7,1,1,1
24,1.04,7,1,1,1
25,1.04,7,1,1,1
26,1.04,7,1,1,1
27,1.04,7,1,1,1
28,1.04,7,1,1,1
29,1.04,7,1,1,1
30,1.04,7,1,1,1
31,1.04,7,1,1,1
32,1.0,8,1,1,1
33,1.04,7,1,1,1
34,1.04,7,1,1,1
35,1.04,7,1,1,1
36,1.04,7,1,1,1
37,1.04,7,1,1,1
38,1.04,7,1,1,1
39,1.04,7,1,1,1
40,0.92,13,1,1,1
41,1.04,7,1,1,1
42,1.04,7,1,1,1
43,1.04,7,1,1,1
44,1.04,7,1,1,1
45,1.04,7,1,1,1
46,1.0,8,1,1,1
47,1.0,9,1,1,1
48,1.04,7,1,1,1
49,1.04,7,1,1,1
50,0.92,11,1,1,1
51,1.0,8,1,1,1
52,1.04,7,1,1,1
53,1.04,7,1,1,1
54,1.04,7,1,1,1
55,1.04,7,1,1,1
56,1.04,7,1,1,1
57,1.04,7,1,1,1
58,1.02,8,1,1,1
59,1.04,7,1,1,1
60,1.04,7,1,1,1
61,1.04,7,1,1,1
62,1.0,9,1,1,1
63,1.04,7,1,1,1
64,1.04,7,1,1,1
65,1.04,7,1,1,1
66,1.0,9,1,1,1
67,1.04,7,1,1,1
68,1.04,7,1,1,1
69,1.0,8,1,1,1
70,1.04,7,1,1,1
71,1.0,8,1,1,1
