episode,reward,steps,key,door,goal,exploration
1,0.62,23,1,1,1,0.3
2,0.92,11,1,1,1,0.3
3,0.24,39,1,1,1,0.3
4,0.92,10,1,1,1,0.3
5,-0.36,50,1,1,0,0.3
6,0.86,13,1,1,1,0.3
7,-0.2,50,1,1,0,0.3
8,0.94,10,1,1,1,0.3
9,0.7,20,1,1,1,0.3
10,0.64,21,1,1,1,0.3
11,0.88,13,1,1,1,0.3
12,1.0,9,1,1,1,0.3
13,0.6,24,1,1,1,0.3
14,-0.24,50,1,1,0,0.3
15,-0.24,50,1,1,0,0.3
16,0.7,20,1,1,1,0.3
17,0.38,32,1,1,1,0.3
18,0.62,20,1,1,1,0.3
19,0.96,9,1,1,1,0.3
20,-0.36,50,1,0,0,0.3
21,0.28,36,1,1,1,0.3
22,1.0,8,1,1,1,0.3
23,1.0,9,1,1,1,0.3
24,0.26,41,1,1,1,0.3
25,-0.28,50,1,1,0,0.3
26,1.02,8,1,1,1,0.3
27,0.78,16,1,1,1,0.3
28,0.7,20,1,1,1,0.3
29,-0.6,50,0,0,0,0.3
30,0.8,17,1,1,1,0.3
31,0.8,18,1,1,1,0.3
32,0.88,12,1,1,1,0.3
33,1.0,9,1,1,1,0.3
34,0.92,12,1,1,1,0.3
35,0.08,45,1,1,1,0.3
36,0.8,16,1,1,1,0.3
37,-0.72,50,0,0,0,0.3
38,-0.2,50,1,1,0,0.3
39,0.86,15,1,1,1,0.3
40,0.42,27,1,1,1,0.3
41,0.88,13,1,1,1,0.3
42,0.5,27,1,1,1,0.3
43,-0.2,50,1,1,0,0.3
44,0.26,40,1,1,1,0.3
45,0.84,13,1,1,1,0.3
46,-0.22,50,1,1,0,0.3
47,0.68,23,1,1,1,0.3
48,1.04,7,1,1,1,0.3
49,0.12,46,1,1,1,0.3
50,1.0,8,1,1,1,0.3
51,-0.2,50,1,1,0,0.3
52,0.78,18,1,1,1,0.3
53,-0.36,50,1,0,0,0.3
54,0.96,9,1,1,1,0.3
55,-0.44,50,1,0,0,0.3
56,0.84,15,1,1,1,0.3
57,0.9,12,1,1,1,0.3
58,0.98,10,1,1,1,0.3
59,-0.12,50,1,1,0,0.3
60,0.88,15,1,1,1,0.3
61,0.58,24,1,1,1,0.3
62,1.04,7,1,1,1,0.3
63,0.72,18,1,1,1,0.3
64,-0.16,50,1,1,0,0.3
65,1.0,8,1,1,1,0.3
66,0.94,10,1,1,1,0.3
67,1.04,7,1,1,1,0.3
68,1.0,8,1,1,1,0.3
69,1.04,7,1,1,1,0.3
70,0.8,17,1,1,1,0.3
71,0.86,14,1,1,1,0.3
72,0.88,13,1,1,1,0.3
73,0.8,17,1,1,1,0.3
74,0.94,11,1,1,1,0.3
75,0.5,31,1,1,1,0.3
76,0.88,12,1,1,1,0.3
77,0.98,9,1,1,1,0.3
78,-0.14,50,1,1,0,0.3
79,0.62,25,1,1,1,0.3
80,0.9,12,1,1,1,0.3
81,1.0,8,1,1,1,0.3
82,1.0,8,1,1,1,0.3
83,0.72,21,1,1,1,0.3
84,0.72,18,1,1,1,0.3
85,1.0,8,1,1,1,0.3
86,0.96,10,1,1,1,0.3
87,0.98,10,1,1,1,0.3
88,1.04,7,1,1,1,0.3
89,-0.14,50,1,1,0,0.3
90,0.76,20,1,1,1,0.3
91,0.66,21,1,1,1,0.3
92,0.76,19,1,1,1,0.3
93,1.0,8,1,1,1,0.3
94,0.22,45,1,1,1,0.3
95,0.96,10,1,1,1,0.3
96,-0.74,50,0,0,0,0.3
97,0.9,12,1,1,1,0.3
98,-0.76,50,0,0,0,0.3
99,1.04,7,1,1,1,0.3
100,0.96,9,1,1,1,0.3
101,-0.56,50,1,0,0,0.3
102,0.8,17,1,1,1,0.3
103,1.04,7,1,1,1,0.3
104,-0.16,50,1,1,0,0.3
105,0.98,10,1,1,1,0.3
106,-0.14,50,1,1,0,0.3
107,1.04,7,1,1,1,0.3
108,0.52,28,1,1,1,0.3
109,-0.54,50,1,1,0,0.3
110,0.92,11,1,1,1,0.3
111,0.98,10,1,1,1,0.3
112,0.22,45,1,1,1,0.3
113,1.0,8,1,1,1,0.3
114,0.52,26,1,1,1,0.3
115,0.9,11,1,1,1,0.3
116,0.3,30,1,1,1,0.3
117,0.92,12,1,1,1,0.3
118,0.92,11,1,1,1,0.3
119,-0.7,50,0,0,0,0.3
120,1.02,8,1,1,1,0.3
121,0.98,9,1,1,1,0.3
122,0.9,13,1,1,1,0.3
123,-0.7,50,0,0,0,0.3
124,0.96,11,1,1,1,0.3
125,0.54,27,1,1,1,0.3
126,1.0,8,1,1,1,0.3
127,-0.16,50,1,1,0,0.3
128,0.24,31,1,1,1,0.3
