episode,reward,steps,key,door,goal
1,0.94,10,1,1,1
2,0.6,21,1,1,1
3,1.0,8,1,1,1
4,0.7,19,1,1,1
5,0.28,42,1,1,1
6,0.82,15,1,1,1
7,-0.12,50,1,1,0
8,0.52,25,1,1,1
9,1.04,7,1,1,1
10,-0.28,50,0,0,0
11,0.74,20,1,1,1
12,0.74,18,1,1,1
13,0.94,11,1,1,1
14,0.46,31,1,1,1
15,-0.2,50,1,1,0
16,0.82,17,1,1,1
17,0.72,19,1,1,1
18,0.96,9,1,1,1
19,0.28,40,1,1,1
20,0.62,25,1,1,1
21,0.96,10,1,1,1
22,0.36,33,1,1,1
23,-0.12,50,1,1,0
24,0.84,14,1,1,1
25,0.74,19,1,1,1
26,0.34,40,1,1,1
27,0.94,11,1,1,1
28,0.64,24,1,1,1
29,0.58,25,1,1,1
30,0.86,13,1,1,1
31,1.0,9,1,1,1
32,0.64,23,1,1,1
33,0.46,29,1,1,1
34,0.78,16,1,1,1
35,0.92,10,1,1,1
36,1.0,9,1,1,1
37,0.5,27,1,1,1
38,0.68,22,1,1,1
39,0.5,28,1,1,1
40,0.88,14,1,1,1
41,0.8,18,1,1,1
42,0.94,12,1,1,1
43,0.86,14,1,1,1
44,0.98,10,1,1,1
45,0.56,26,1,1,1
46,0.9,11,1,1,1
47,0.94,12,1,1,1
48,0.84,14,1,1,1
49,0.38,33,1,1,1
50,1.04,7,1,1,1
51,0.84,16,1,1,1
52,0.84,13,1,1,1
53,0.96,11,1,1,1
54,0.88,12,1,1,1
55,0.4,32,1,1,1
56,0.5,27,1,1,1
57,0.08,49,1,1,1
58,0.8,16,1,1,1
59,0.28,37,1,1,1
60,0.8,16,1,1,1
61,0.62,25,1,1,1
62,0.62,22,1,1,1
63,0.8,16,1,1,1
64,-0.24,50,1,1,0
65,0.32,35,1,1,1
66,0.74,21,1,1,1
67,0.94,10,1,1,1
68,0.52,26,1,1,1
69,0.76,16,1,1,1
70,0.96,11,1,1,1
71,0.76,18,1,1,1
72,0.72,22,1,1,1
73,0.74,20,1,1,1
74,0.54,28,1,1,1
75,-0.16,50,1,1,0
76,0.84,14,1,1,1
77,0.9,14,1,1,1
78,0.76,17,1,1,1
79,-0.28,50,1,1,0
80,0.0,46,1,1,1
81,-0.14,50,1,1,0
82,0.72,19,1,1,1
83,0.74,18,1,1,1
84,1.0,8,1,1,1
85,0.36,31,1,1,1
86,0.94,10,1,1,1
87,0.94,12,1,1,1
88,0.74,20,1,1,1
